tasmin, Year, Statistics, Country, ISO3
15.3, 1991, Jan Average, Ecuador, ECU
16.0, 1991, Feb Average, Ecuador, ECU
16.3, 1991, Mar Average, Ecuador, ECU
16.1, 1991, Apr Average, Ecuador, ECU
16.2, 1991, May Average, Ecuador, ECU
15.8, 1991, Jun Average, Ecuador, ECU
14.9, 1991, Jul Average, Ecuador, ECU
13.9, 1991, Aug Average, Ecuador, ECU
14.4, 1991, Sep Average, Ecuador, ECU
14.4, 1991, Oct Average, Ecuador, ECU
14.8, 1991, Nov Average, Ecuador, ECU
15.4, 1991, Dec Average, Ecuador, ECU
16.1, 1992, Jan Average, Ecuador, ECU
16.1, 1992, Feb Average, Ecuador, ECU
16.5, 1992, Mar Average, Ecuador, ECU
16.9, 1992, Apr Average, Ecuador, ECU
16.6, 1992, May Average, Ecuador, ECU
15.4, 1992, Jun Average, Ecuador, ECU
14.5, 1992, Jul Average, Ecuador, ECU
14.7, 1992, Aug Average, Ecuador, ECU
14.3, 1992, Sep Average, Ecuador, ECU
14.6, 1992, Oct Average, Ecuador, ECU
14.6, 1992, Nov Average, Ecuador, ECU
15.2, 1992, Dec Average, Ecuador, ECU
15.7, 1993, Jan Average, Ecuador, ECU
15.6, 1993, Feb Average, Ecuador, ECU
15.6, 1993, Mar Average, Ecuador, ECU
16.1, 1993, Apr Average, Ecuador, ECU
16.0, 1993, May Average, Ecuador, ECU
15.6, 1993, Jun Average, Ecuador, ECU
14.7, 1993, Jul Average, Ecuador, ECU
14.5, 1993, Aug Average, Ecuador, ECU
14.6, 1993, Sep Average, Ecuador, ECU
14.8, 1993, Oct Average, Ecuador, ECU
14.3, 1993, Nov Average, Ecuador, ECU
15.0, 1993, Dec Average, Ecuador, ECU
15.1, 1994, Jan Average, Ecuador, ECU
15.5, 1994, Feb Average, Ecuador, ECU
15.4, 1994, Mar Average, Ecuador, ECU
15.9, 1994, Apr Average, Ecuador, ECU
15.7, 1994, May Average, Ecuador, ECU
14.8, 1994, Jun Average, Ecuador, ECU
14.2, 1994, Jul Average, Ecuador, ECU
13.9, 1994, Aug Average, Ecuador, ECU
14.5, 1994, Sep Average, Ecuador, ECU
15.1, 1994, Oct Average, Ecuador, ECU
14.8, 1994, Nov Average, Ecuador, ECU
15.2, 1994, Dec Average, Ecuador, ECU
15.9, 1995, Jan Average, Ecuador, ECU
16.0, 1995, Feb Average, Ecuador, ECU
15.8, 1995, Mar Average, Ecuador, ECU
16.1, 1995, Apr Average, Ecuador, ECU
15.8, 1995, May Average, Ecuador, ECU
15.6, 1995, Jun Average, Ecuador, ECU
14.8, 1995, Jul Average, Ecuador, ECU
14.4, 1995, Aug Average, Ecuador, ECU
14.9, 1995, Sep Average, Ecuador, ECU
15.1, 1995, Oct Average, Ecuador, ECU
14.7, 1995, Nov Average, Ecuador, ECU
14.6, 1995, Dec Average, Ecuador, ECU
14.8, 1996, Jan Average, Ecuador, ECU
15.4, 1996, Feb Average, Ecuador, ECU
15.8, 1996, Mar Average, Ecuador, ECU
15.4, 1996, Apr Average, Ecuador, ECU
15.3, 1996, May Average, Ecuador, ECU
14.2, 1996, Jun Average, Ecuador, ECU
14.2, 1996, Jul Average, Ecuador, ECU
14.1, 1996, Aug Average, Ecuador, ECU
14.3, 1996, Sep Average, Ecuador, ECU
14.6, 1996, Oct Average, Ecuador, ECU
14.7, 1996, Nov Average, Ecuador, ECU
14.7, 1996, Dec Average, Ecuador, ECU
15.3, 1997, Jan Average, Ecuador, ECU
15.5, 1997, Feb Average, Ecuador, ECU
16.4, 1997, Mar Average, Ecuador, ECU
16.6, 1997, Apr Average, Ecuador, ECU
16.8, 1997, May Average, Ecuador, ECU
16.4, 1997, Jun Average, Ecuador, ECU
15.4, 1997, Jul Average, Ecuador, ECU
15.0, 1997, Aug Average, Ecuador, ECU
15.5, 1997, Sep Average, Ecuador, ECU
16.4, 1997, Oct Average, Ecuador, ECU
15.6, 1997, Nov Average, Ecuador, ECU
16.1, 1997, Dec Average, Ecuador, ECU
17.3, 1998, Jan Average, Ecuador, ECU
16.9, 1998, Feb Average, Ecuador, ECU
17.8, 1998, Mar Average, Ecuador, ECU
17.5, 1998, Apr Average, Ecuador, ECU
16.9, 1998, May Average, Ecuador, ECU
16.2, 1998, Jun Average, Ecuador, ECU
15.3, 1998, Jul Average, Ecuador, ECU
14.9, 1998, Aug Average, Ecuador, ECU
14.7, 1998, Sep Average, Ecuador, ECU
15.2, 1998, Oct Average, Ecuador, ECU
14.9, 1998, Nov Average, Ecuador, ECU
15.0, 1998, Dec Average, Ecuador, ECU
15.3, 1999, Jan Average, Ecuador, ECU
15.5, 1999, Feb Average, Ecuador, ECU
15.9, 1999, Mar Average, Ecuador, ECU
15.6, 1999, Apr Average, Ecuador, ECU
14.9, 1999, May Average, Ecuador, ECU
14.4, 1999, Jun Average, Ecuador, ECU
13.5, 1999, Jul Average, Ecuador, ECU
13.9, 1999, Aug Average, Ecuador, ECU
14.2, 1999, Sep Average, Ecuador, ECU
14.3, 1999, Oct Average, Ecuador, ECU
14.2, 1999, Nov Average, Ecuador, ECU
14.4, 1999, Dec Average, Ecuador, ECU
14.8, 2000, Jan Average, Ecuador, ECU
15.1, 2000, Feb Average, Ecuador, ECU
15.1, 2000, Mar Average, Ecuador, ECU
15.4, 2000, Apr Average, Ecuador, ECU
14.9, 2000, May Average, Ecuador, ECU
14.4, 2000, Jun Average, Ecuador, ECU
13.6, 2000, Jul Average, Ecuador, ECU
14.1, 2000, Aug Average, Ecuador, ECU
13.9, 2000, Sep Average, Ecuador, ECU
15.0, 2000, Oct Average, Ecuador, ECU
14.5, 2000, Nov Average, Ecuador, ECU
14.6, 2000, Dec Average, Ecuador, ECU
15.4, 2001, Jan Average, Ecuador, ECU
15.9, 2001, Feb Average, Ecuador, ECU
15.5, 2001, Mar Average, Ecuador, ECU
15.8, 2001, Apr Average, Ecuador, ECU
14.8, 2001, May Average, Ecuador, ECU
13.8, 2001, Jun Average, Ecuador, ECU
13.8, 2001, Jul Average, Ecuador, ECU
14.0, 2001, Aug Average, Ecuador, ECU
13.8, 2001, Sep Average, Ecuador, ECU
14.5, 2001, Oct Average, Ecuador, ECU
14.5, 2001, Nov Average, Ecuador, ECU
14.8, 2001, Dec Average, Ecuador, ECU
15.3, 2002, Jan Average, Ecuador, ECU
16.0, 2002, Feb Average, Ecuador, ECU
16.1, 2002, Mar Average, Ecuador, ECU
16.3, 2002, Apr Average, Ecuador, ECU
16.0, 2002, May Average, Ecuador, ECU
14.5, 2002, Jun Average, Ecuador, ECU
14.1, 2002, Jul Average, Ecuador, ECU
14.3, 2002, Aug Average, Ecuador, ECU
14.7, 2002, Sep Average, Ecuador, ECU
15.5, 2002, Oct Average, Ecuador, ECU
15.4, 2002, Nov Average, Ecuador, ECU
15.9, 2002, Dec Average, Ecuador, ECU
16.0, 2003, Jan Average, Ecuador, ECU
16.1, 2003, Feb Average, Ecuador, ECU
16.0, 2003, Mar Average, Ecuador, ECU
15.9, 2003, Apr Average, Ecuador, ECU
15.3, 2003, May Average, Ecuador, ECU
14.6, 2003, Jun Average, Ecuador, ECU
14.3, 2003, Jul Average, Ecuador, ECU
13.9, 2003, Aug Average, Ecuador, ECU
14.2, 2003, Sep Average, Ecuador, ECU
15.4, 2003, Oct Average, Ecuador, ECU
14.8, 2003, Nov Average, Ecuador, ECU
15.1, 2003, Dec Average, Ecuador, ECU
16.3, 2004, Jan Average, Ecuador, ECU
16.5, 2004, Feb Average, Ecuador, ECU
17.1, 2004, Mar Average, Ecuador, ECU
16.1, 2004, Apr Average, Ecuador, ECU
15.1, 2004, May Average, Ecuador, ECU
14.4, 2004, Jun Average, Ecuador, ECU
13.8, 2004, Jul Average, Ecuador, ECU
13.9, 2004, Aug Average, Ecuador, ECU
14.2, 2004, Sep Average, Ecuador, ECU
15.4, 2004, Oct Average, Ecuador, ECU
14.9, 2004, Nov Average, Ecuador, ECU
15.4, 2004, Dec Average, Ecuador, ECU
15.9, 2005, Jan Average, Ecuador, ECU
16.4, 2005, Feb Average, Ecuador, ECU
16.4, 2005, Mar Average, Ecuador, ECU
16.2, 2005, Apr Average, Ecuador, ECU
15.6, 2005, May Average, Ecuador, ECU
14.9, 2005, Jun Average, Ecuador, ECU
14.2, 2005, Jul Average, Ecuador, ECU
14.3, 2005, Aug Average, Ecuador, ECU
14.2, 2005, Sep Average, Ecuador, ECU
14.8, 2005, Oct Average, Ecuador, ECU
13.9, 2005, Nov Average, Ecuador, ECU
